생산량,년도,지역,작물명,단위
4.0,2017,서울특별시,수박,톤
2.0,2018,서울특별시,수박,톤
2.0,2019,서울특별시,수박,톤
1.0,2020,서울특별시,수박,톤
8.0,2021,서울특별시,수박,톤
6.0,2022,서울특별시,수박,톤
1.0,2017,서울특별시,노지수박,톤
1.0,2018,서울특별시,노지수박,톤
2.0,2019,서울특별시,노지수박,톤
1.0,2020,서울특별시,노지수박,톤
8.0,2021,서울특별시,노지수박,톤
5.0,2022,서울특별시,노지수박,톤
3.0,2017,서울특별시,시설수박,톤
1.0,2018,서울특별시,시설수박,톤
1.0,2022,서울특별시,시설수박,톤
47.0,2013,서울특별시,참외,톤
24.0,2014,서울특별시,참외,톤
12.0,2017,서울특별시,참외,톤
2.0,2018,서울특별시,참외,톤
2.0,2019,서울특별시,참외,톤
2.0,2020,서울특별시,참외,톤
3.0,2021,서울특별시,참외,톤
18.0,2022,서울특별시,참외,톤
24.0,2013,서울특별시,노지참외,톤
24.0,2014,서울특별시,노지참외,톤
8.0,2017,서울특별시,노지참외,톤
1.0,2018,서울특별시,노지참외,톤
2.0,2019,서울특별시,노지참외,톤
2.0,2020,서울특별시,노지참외,톤
3.0,2021,서울특별시,노지참외,톤
18.0,2022,서울특별시,노지참외,톤
23.0,2013,서울특별시,시설참외,톤
4.0,2017,서울특별시,시설참외,톤
1.0,2018,서울특별시,시설참외,톤
2.0,2017,서울특별시,딸기,톤
17.0,2021,서울특별시,딸기,톤
3.0,2022,서울특별시,딸기,톤
2.0,2017,서울특별시,노지딸기,톤
3.0,2021,서울특별시,노지딸기,톤
3.0,2022,서울특별시,노지딸기,톤
14.0,2021,서울특별시,시설딸기,톤
137.0,2013,서울특별시,오이,톤
341.0,2014,서울특별시,오이,톤
1160.0,2015,서울특별시,오이,톤
51.0,2017,서울특별시,오이,톤
91.0,2018,서울특별시,오이,톤
92.0,2019,서울특별시,오이,톤
173.0,2020,서울특별시,오이,톤
126.0,2021,서울특별시,오이,톤
592.0,2022,서울특별시,오이,톤
23.0,2017,서울특별시,노지오이,톤
11.0,2018,서울특별시,노지오이,톤
15.0,2019,서울특별시,노지오이,톤
11.0,2020,서울특별시,노지오이,톤
36.0,2021,서울특별시,노지오이,톤
41.0,2022,서울특별시,노지오이,톤
137.0,2013,서울특별시,시설오이,톤
341.0,2014,서울특별시,시설오이,톤
1160.0,2015,서울특별시,시설오이,톤
28.0,2017,서울특별시,시설오이,톤
80.0,2018,서울특별시,시설오이,톤
77.0,2019,서울특별시,시설오이,톤
162.0,2020,서울특별시,시설오이,톤
