작물명,지역,생산량,년도,단위
가을일반무,충청남도,76430.0,2014,톤
가을일반무,충청남도,123235.0,2015,톤
가을일반무,충청남도,67663.0,2016,톤
가을일반무,충청남도,75005.0,2017,톤
가을일반무,충청남도,55695.0,2018,톤
가을일반무,충청남도,48870.75501,2019,톤
가을일반무,충청남도,47567.3432,2020,톤
가을일반무,충청남도,59752.7662,2021,톤
가을일반무,충청남도,73232.8264,2022,톤
가을일반무,충청남도,71237.4011,2023,톤
가을총각무,경기도,8821.0,2014,톤
가을총각무,경기도,5569.0,2015,톤
가을총각무,경기도,9142.0,2016,톤
가을총각무,경기도,16796.0,2017,톤
가을총각무,경기도,24662.0,2018,톤
가을총각무,경기도,21396.04506,2019,톤
가을총각무,경기도,12842.58032,2020,톤
가을총각무,경기도,16782.661,2021,톤
가을총각무,경기도,19308.9037,2022,톤
가을총각무,경기도,18948.6743,2023,톤
건고추,경상북도,20901.75443,2014,톤
건고추,경상북도,24213.89097,2015,톤
건고추,경상북도,20111.0,2016,톤
건고추,경상북도,12072.75175,2017,톤
건고추,경상북도,17181.53941,2018,톤
건고추,경상북도,18785.70334,2019,톤
건고추,경상북도,16954.9654,2020,톤
건고추,경상북도,24698.8244,2021,톤
건고추,경상북도,17455.8725,2022,톤
건고추,경상북도,16084.1146,2023,톤
고랭지감자,강원도,106947.0,2014,톤
고랭지감자,강원도,131025.0,2015,톤
고랭지감자,강원도,120345.0,2016,톤
고랭지감자,강원도,98639.0,2017,톤
고랭지감자,강원도,91277.0,2018,톤
고랭지감자,강원도,138378.27427,2019,톤
고랭지감자,강원도,118595.30803,2020,톤
고랭지감자,강원도,117738.926,2021,톤
고랭지감자,강원도,124355.61,2022,톤
고랭지감자,강원도,126593.1545,2023,톤
고랭지무,강원도,74191.0,2014,톤
고랭지무,강원도,56300.0,2015,톤
고랭지무,강원도,82253.0,2016,톤
고랭지무,강원도,87603.0,2017,톤
고랭지무,강원도,86794.0,2018,톤
고랭지무,강원도,76173.0,2019,톤
