생산량,년도,지역,작물명,단위
46432,2013,계,과채류:면적,ha
50097,2014,계,과채류:면적,ha
48784,2015,계,과채류:면적,ha
44661,2016,계,과채류:면적,ha
41942.5045,2017,계,과채류:면적,ha
42077.7345,2018,계,과채류:면적,ha
42623.0143,2019,계,과채류:면적,ha
40667.1683,2020,계,과채류:면적,ha
40857.7356,2021,계,과채류:면적,ha
40389.8246,2022,계,과채류:면적,ha
2032903,2013,계,과채류:생산량,톤
2179553,2014,계,과채류:생산량,톤
2082403,2015,계,과채류:생산량,톤
1940733,2016,계,과채류:생산량,톤
1890612,2017,계,과채류:생산량,톤
1880890,2018,계,과채류:생산량,톤
1928430,2019,계,과채류:생산량,톤
1784019,2020,계,과채류:생산량,톤
1761337,2021,계,과채류:생산량,톤
1770302,2022,계,과채류:생산량,톤
14885,2013,계,수박:면적,ha
16865,2014,계,수박:면적,ha
15185,2015,계,수박:면적,ha
13440,2016,계,수박:면적,ha
12660.6999,2017,계,수박:면적,ha
11813.8108,2018,계,수박:면적,ha
11972.2385,2019,계,수박:면적,ha
11580.3819,2020,계,수박:면적,ha
11747.8376,2021,계,수박:면적,ha
11762.3375,2022,계,수박:면적,ha
672914,2013,계,수박:생산량,톤
686883,2014,계,수박:생산량,톤
634352,2015,계,수박:생산량,톤
570160,2016,계,수박:생산량,톤
506471,2017,계,수박:생산량,톤
476634,2018,계,수박:생산량,톤
475815,2019,계,수박:생산량,톤
466529,2020,계,수박:생산량,톤
489029,2021,계,수박:생산량,톤
487167,2022,계,수박:생산량,톤
2586,2013,계,노지수박:면적,ha
2855,2014,계,노지수박:면적,ha
2613,2015,계,노지수박:면적,ha
2273,2016,계,노지수박:면적,ha
2725.7912,2017,계,노지수박:면적,ha
2366.9759,2018,계,노지수박:면적,ha
2647.5987,2019,계,노지수박:면적,ha
2622.9639,2020,계,노지수박:면적,ha
2228.1043,2021,계,노지수박:면적,ha
2377.4823,2022,계,노지수박:면적,ha
3747,2013,계,노지수박:10a당 생산량,kg
3453,2014,계,노지수박:10a당 생산량,kg
3435,2015,계,노지수박:10a당 생산량,kg
3783,2016,계,노지수박:10a당 생산량,kg
3402,2017,계,노지수박:10a당 생산량,kg
3234,2018,계,노지수박:10a당 생산량,kg
3190,2019,계,노지수박:10a당 생산량,kg
3141,2020,계,노지수박:10a당 생산량,kg
3476,2021,계,노지수박:10a당 생산량,kg
3489,2022,계,노지수박:10a당 생산량,kg
96893,2013,계,노지수박:생산량,톤
98592,2014,계,노지수박:생산량,톤
89747,2015,계,노지수박:생산량,톤
85994,2016,계,노지수박:생산량,톤
92736,2017,계,노지수박:생산량,톤
76543,2018,계,노지수박:생산량,톤
84469,2019,계,노지수박:생산량,톤
82398,2020,계,노지수박:생산량,톤
77456,2021,계,노지수박:생산량,톤
82950,2022,계,노지수박:생산량,톤
12299,2013,계,시설수박:면적,ha
14010,2014,계,시설수박:면적,ha
12572,2015,계,시설수박:면적,ha
11167,2016,계,시설수박:면적,ha
9934.9087,2017,계,시설수박:면적,ha
9446.8349,2018,계,시설수박:면적,ha
9324.6398,2019,계,시설수박:면적,ha
8957.418,2020,계,시설수박:면적,ha
9519.7333,2021,계,시설수박:면적,ha
9384.8552,2022,계,시설수박:면적,ha
4683,2013,계,시설수박:10a당 생산량,kg
4199,2014,계,시설수박:10a당 생산량,kg
4332,2015,계,시설수박:10a당 생산량,kg
4336,2016,계,시설수박:10a당 생산량,kg
4164,2017,계,시설수박:10a당 생산량,kg
4235,2018,계,시설수박:10a당 생산량,kg
4197,2019,계,시설수박:10a당 생산량,kg
4288,2020,계,시설수박:10a당 생산량,kg
