,TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50,STN_ID,STN_KO,AREA
94137,20161001,93.0,0.6,536.0,27.0,2.1,1554.0,16.0,3.9,1252.0,18.6,25.3,1515.0,14.7,538.0,14.6,21.3,13.7,79.3,48.0,1432.0,16.6,2.7,1.9,-9.0,1007.0,1017.8,1019.3,2338.0,1015.8,1543.0,7.5,3.8,11.8,-9.0,11.07,2.29,1200.0,-9.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,22.0,22.8,23.1,22.8,20.2,93.0,북춘천,
94232,20161002,93.0,0.7,639.0,25.0,4.4,1359.0,27.0,6.3,1400.0,17.0,19.4,1123.0,15.6,520.0,15.1,18.2,16.0,89.0,78.0,1212.0,17.1,1.0,0.7,-9.0,1004.4,1015.2,1019.4,57.0,1008.7,2358.0,9.4,0.0,11.8,-9.0,3.19,0.59,1000.0,31.5,70.5,15.17,12.5,1730.0,4.0,1944.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,22.0,22.9,23.0,22.8,20.3,93.0,북춘천,
94327,20161003,93.0,0.9,816.0,23.0,3.7,1621.0,23.0,5.9,1619.0,20.5,29.0,1557.0,15.0,2334.0,16.8,21.6,14.2,81.1,49.0,1434.0,19.2,4.5,3.2,-9.0,998.4,1009.0,1014.0,2358.0,1005.7,422.0,4.8,7.5,11.7,-9.0,16.29,2.86,1200.0,39.0,-9.0,8.5,20.5,348.0,8.5,420.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,20.9,22.8,23.0,22.7,20.3,93.0,북춘천,
94422,20161004,93.0,1.5,1286.0,9.0,4.5,1449.0,9.0,7.5,1545.0,18.3,26.3,1259.0,11.4,619.0,12.6,19.4,11.5,72.4,42.0,1116.0,14.6,5.4,3.8,-9.0,1005.4,1016.2,1017.9,903.0,1014.0,1.0,1.8,10.6,11.7,-9.0,19.79,2.85,1200.0,-9.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,21.5,22.7,22.9,22.7,20.3,93.0,북춘천,
94517,20161005,93.0,1.3,1145.0,34.0,5.0,1058.0,5.0,8.3,1319.0,18.0,25.6,1527.0,14.2,2339.0,14.0,19.3,13.2,79.4,47.0,1528.0,16.0,3.1,2.2,-9.0,1000.2,1011.0,1015.7,2355.0,1006.9,1319.0,4.3,4.8,11.6,-9.0,10.49,2.31,1400.0,0.0,0.0,1.83,0.0,-9.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,21.5,22.6,22.9,22.7,20.4,93.0,북춘천,
94612,20161006,93.0,0.8,673.0,20.0,2.8,1356.0,25.0,5.3,1313.0,17.6,24.9,1628.0,12.8,248.0,12.7,20.0,12.9,75.6,39.0,1613.0,14.7,4.6,3.2,4.58,1009.6,1020.4,1023.9,2316.0,1015.6,2.0,5.6,9.3,11.6,-9.0,18.79,2.91,1100.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,21.2,22.5,22.8,22.7,20.3,93.0,북춘천,
94707,20161007,93.0,0.7,572.0,27.0,2.4,1134.0,27.0,3.8,1542.0,18.3,24.1,1420.0,13.7,659.0,13.9,19.9,13.9,77.5,49.0,1430.0,15.9,2.9,2.0,-9.0,1008.8,1019.6,1023.6,612.0,1016.0,2321.0,8.4,5.3,11.6,-9.0,12.42,2.28,1100.0,2.5,7.0,6.5,1.5,1911.0,0.5,1748.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,21.3,22.4,22.8,22.7,20.3,93.0,북춘천,
94802,20161008,93.0,1.6,1377.0,25.0,6.0,1355.0,23.0,9.3,1347.0,16.4,22.4,1512.0,10.1,2358.0,10.0,18.1,8.9,69.8,33.0,1457.0,12.6,4.6,3.2,-9.0,1000.3,1011.1,1016.0,1.0,1008.0,1346.0,5.8,7.1,11.5,-9.0,14.15,2.67,1100.0,4.5,-9.0,6.93,2.0,40.0,0.5,2.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,21.4,22.0,22.8,22.7,20.4,93.0,북춘천,
94897,20161009,93.0,1.5,1267.0,34.0,3.7,431.0,34.0,6.9,426.0,11.2,17.1,1529.0,4.8,608.0,3.1,14.1,3.9,60.3,31.0,1502.0,7.8,4.3,3.0,-9.0,1007.9,1019.1,1021.0,2222.0,1013.7,1.0,3.9,10.5,11.5,-9.0,19.53,2.86,1200.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,21.1,21.9,22.8,22.7,20.4,93.0,북춘천,
94992,20161010,93.0,0.7,630.0,23.0,2.7,1347.0,27.0,4.3,1357.0,11.1,20.6,1544.0,4.2,626.0,3.5,14.7,3.5,64.6,19.0,1613.0,7.9,4.5,3.1,-9.0,1009.7,1020.8,1023.3,815.0,1018.6,1505.0,5.1,10.6,11.4,-9.0,19.25,2.74,1100.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,20.5,21.8,22.7,22.7,20.4,93.0,북춘천,
